url,category,lang
https://en.wikipedia.org/wiki/2000_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2001_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2002_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2003_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2004_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2005_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2006_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2007_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2008_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2010_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2011_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2014_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2016_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2017_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2018_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2019_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2021_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2023_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2024_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2025_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/2026_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/John_Tyndall,science,en
https://en.wikipedia.org/wiki/G.S._Callendar,science,en
https://en.wikipedia.org/wiki/Charney_Report,science,en
https://en.wikipedia.org/wiki/James_Hansen,science,en
https://en.wikipedia.org/wiki/Senate_Hearing_of_James_E._Hansen_%281988%29,science,en
https://en.wikipedia.org/wiki/Earth_Summit,international,en
